Voltage,Current
584.1879,4.43E-06
584.6915,4.43E-06
585.2293,4.44E-06
585.7305,4.45E-06
586.2319,4.46E-06
586.7346,4.46E-06
587.2352,4.47E-06
587.7365,4.48E-06
588.2381,4.48E-06
588.7411,4.49E-06
589.2412,4.50E-06
589.7433,4.50E-06
590.2458,4.51E-06
590.7455,4.52E-06
591.2455,4.52E-06
591.748,4.53E-06
592.2501,4.54E-06
592.7308,4.54E-06
593.2328,4.55E-06
593.7359,4.56E-06
594.2394,4.56E-06
594.7386,4.57E-06
595.2946,4.58E-06
595.7948,4.58E-06
596.2988,4.59E-06
596.799,4.60E-06
597.3007,4.61E-06
597.7851,4.61E-06
598.2835,4.62E-06
598.7866,4.63E-06
599.2868,4.63E-06
599.7878,4.64E-06
600.2903,4.65E-06
600.791,4.65E-06
601.2925,4.66E-06
601.7948,4.67E-06
602.2961,4.67E-06
602.7969,4.68E-06
603.2985,4.69E-06
603.8005,4.70E-06
604.3005,4.70E-06
604.8017,4.71E-06
605.3412,4.72E-06
605.8423,4.72E-06
606.3436,4.73E-06
606.8448,4.74E-06
607.3444,4.75E-06
607.849,4.75E-06
608.3495,4.76E-06
608.8512,4.77E-06
609.3505,4.77E-06
609.8508,4.78E-06
610.3343,4.79E-06
610.8348,4.80E-06
611.337,4.80E-06
611.8376,4.81E-06
612.3405,4.82E-06
612.8397,4.82E-06
613.3414,4.83E-06
613.8444,4.84E-06
614.3455,4.85E-06
614.8441,4.85E-06
615.4039,4.86E-06
615.8848,4.87E-06
616.3881,4.88E-06
616.8887,4.88E-06
617.3905,4.89E-06
617.8914,4.90E-06
618.3918,4.91E-06
618.8908,4.91E-06
619.3925,4.92E-06
619.8951,4.93E-06
620.3955,4.94E-06
620.8959,4.94E-06
621.3973,4.95E-06
621.8995,4.96E-06
622.4011,4.97E-06
622.902,4.97E-06
623.3838,4.98E-06
623.8851,4.99E-06
624.3897,5.00E-06
624.8901,5.00E-06
625.4443,5.01E-06
625.9468,5.02E-06
626.4487,5.03E-06
626.9508,5.03E-06
627.4524,5.04E-06
627.9532,5.05E-06
628.4362,5.06E-06
628.9351,5.06E-06
629.4359,5.07E-06
629.9398,5.08E-06
630.4379,5.09E-06
630.9397,5.10E-06
631.4429,5.10E-06
631.9449,5.11E-06
632.4435,5.12E-06
632.9446,5.13E-06
633.4479,5.13E-06
633.9478,5.14E-06
634.45,5.15E-06
634.9512,5.16E-06
635.4902,5.17E-06
635.9922,5.18E-06
636.4933,5.18E-06
636.994,5.19E-06
637.496,5.20E-06
637.9972,5.21E-06
638.4954,5.22E-06
638.9954,5.22E-06
639.4978,5.23E-06
639.9971,5.24E-06
640.4991,5.25E-06
640.9849,5.26E-06
641.4852,5.27E-06
641.9867,5.27E-06
642.4878,5.28E-06
642.9854,5.29E-06
643.4856,5.30E-06
643.988,5.31E-06
644.4893,5.32E-06
644.9902,5.33E-06
645.548,5.33E-06
646.0308,5.34E-06
646.5313,5.35E-06
647.0335,5.36E-06
647.5341,5.37E-06
648.0352,5.38E-06
648.5358,5.39E-06
649.0375,5.40E-06
649.5369,5.41E-06
650.0386,5.42E-06
545.3868,1.04E-05
550.5273,3.85E-06
