Applied_Voltage,Leakage_Current
145.5202,5.720525e-07
148.5287,5.888896e-07
151.5199,6.042856e-07
154.5269,6.213134e-07
157.5152,6.385579e-07
160.579,6.562622e-07
163.5665,6.736495e-07
166.5751,6.923297e-07
169.5658,7.104489e-07
172.5724,7.323015e-07
175.6176,7.503578e-07
178.6241,7.689616e-07
181.6141,7.898481e-07
184.6197,8.071892e-07
187.6242,8.27215e-07
190.6692,8.491748e-07
193.6754,8.658882e-07
196.6646,8.870198e-07
199.6737,9.075993e-07
202.6616,9.26144e-07
205.725,9.50485e-07
208.7164,9.683522e-07
211.7229,9.887154e-07
214.712,1.010593e-06
217.7186,1.02874e-06
220.7649,1.049982e-06
223.6478,1.049996e-06
225.6756,1.050009e-06
229.7572,1.058538e-06
232.7671,1.078862e-06
235.8124,1.098672e-06
238.8209,1.118351e-06
241.8106,1.138037e-06
244.8192,1.157894e-06
247.8092,1.17769e-06
250.8733,1.1983e-06
253.8629,1.218489e-06
256.8718,1.238999e-06
259.8608,1.259384e-06
262.864,1.279971e-06
265.9103,1.301065e-06
268.918,1.3222e-06
271.9264,1.343274e-06
274.916,1.364359e-06
277.9242,1.385696e-06
280.9687,1.40751e-06
283.9776,1.429091e-06
286.9668,1.450756e-06
289.9753,1.472686e-06
292.9633,1.494635e-06
296.0272,1.517164e-06
299.0168,1.539213e-06
302.0247,1.561709e-06
305.0154,1.584152e-06
308.0782,1.607266e-06
311.0673,1.629856e-06
314.0746,1.652746e-06
317.0809,1.675769e-06
320.0706,1.698758e-06
323.1169,1.722469e-06
326.1231,1.745933e-06
329.1311,1.769604e-06
332.1198,1.793137e-06
335.1276,1.81703e-06
338.1723,1.841376e-06
341.1762,1.865532e-06
344.1647,1.889713e-06
347.1734,1.914277e-06
350.1619,1.938656e-06
353.2243,1.963879e-06
356.2125,1.988618e-06
359.2211,2.013835e-06
362.2302,2.039087e-06
365.2195,2.064254e-06
368.2624,2.090158e-06
371.2708,2.115811e-06
374.2777,2.141714e-06
377.2668,2.167594e-06
380.2758,2.19385e-06
383.3185,2.220471e-06
386.3266,2.246916e-06
389.3177,2.273391e-06
392.3266,2.300344e-06
395.3155,2.327127e-06
398.3805,2.354881e-06
401.3704,2.381898e-06
404.378,2.409369e-06
407.3852,2.436946e-06
410.3738,2.464632e-06
413.419,2.493169e-06
416.4254,2.521272e-06
419.4332,2.54951e-06
422.4211,2.577789e-06
425.4286,2.606595e-06
428.4762,2.635805e-06
431.4825,2.664841e-06
434.4733,2.693865e-06
437.4825,2.723145e-06
440.471,2.752512e-06
443.5338,2.782987e-06
446.524,2.812669e-06
449.5326,2.842755e-06
452.5384,2.872977e-06
455.5289,2.903249e-06
458.5729,2.934369e-06
461.5826,2.965156e-06
464.5891,2.996111e-06
467.5769,3.027121e-06
470.5847,3.058494e-06
473.6304,3.090464e-06
476.6345,3.122336e-06
479.6263,3.154159e-06
482.6347,3.186358e-06
485.6417,3.218601e-06
488.6864,3.251493e-06
491.6718,3.284106e-06
494.6784,3.317172e-06
497.6861,3.350271e-06
500.674,3.383441e-06
503.7193,3.417425e-06
506.7259,3.451193e-06
509.7334,3.485221e-06
512.7255,3.519331e-06
515.731,3.553702e-06
518.7767,3.58867e-06
521.7838,3.623541e-06
524.7732,3.658506e-06
527.7792,3.693855e-06
530.7882,3.729337e-06
533.8336,3.765468e-06
536.8237,3.801156e-06
539.8301,3.837307e-06
542.8403,3.873851e-06
545.8309,3.910321e-06
548.8763,3.947782e-06
551.8865,3.984814e-06
